situasi,sinonim 1,sinonim 2,sinonim 3,sinonim 4,sinonim 5
lapor,adu,periksa,kabar,berita,pengaduan
keluh,kesulitan,kecewa,jengkel,benci,marah
protes,bahas,bongkar,sangkal,hindari,hadapi
banjir,kebanjiran,genangan,meluap,tergenang,terendam
longsor,roboh,ambruk,hancuur,amblas,
gempa,guncang,bergeser,lindu,,
kebakaran,hangus,terbakar,kobaran,ludes,musnah
kecelakaan,tumbang,roboh,benturan,pecah,rusak
tabrak,bentur,hantam,tumbukan,pukul,
korban,merugi,menderita,penderita,,
cedera,cidera,lecet,cacat,sayatan,patah
luka,nyeri,pedih,perih,rusak,lebam
tewas,mati,meninggal,wafat,gugur,binasa
hilang,kabur,pergi,meninggalkan,lenyap,musnah
evakuasi,pindah,keluar,selamatkan,menolong,mengamankan
tolong,bantu,minta,memohon,harap,perlu
bahaya,ancaman,risiko,membahayakan,genting,berbahaya
darurat,cepat,bahaya,mendesak,krusial,vital
api,panas,bara,hangus,terbakar,kobaran
asap,uap,kabut,jerebu,kepulan,debu
macet,henti,lambat,pelan,tersendat,terhalang
senggol,singgung,senggolan,,,
parkir,letakkan,simpan,tempatkkan,taruh,
langgar,melawan,menentang,melanggar,menerjang,melewati
tilang,hukum,sanksi,denda,hukuman,tangkap
razia,memburu,menngeledah,periksa,mengontrol,memeriksa
sim,surat,kartu,,,
stnk,,,,,
helm,,,,,
balapan,,,,,
belok,,,,,
lajur,,,,,
jalan,,,,,
motor,,,,,
mobil,,,,,
truk,,,,,
bus,,,,,
rem,,,,,
knalpot,,,,,
curi,,,,,
tipu,,,,,
palsu,,,,,
serang,,,,,
ancam,,,,,
rusak,,,,,
gangster,,,,,
tawuran,,,,,
gaduh,,,,,
ribut,,,,,
rusuh,,,,,
intimidasi,,,,,
terror,,,,,
sanksi,,,,,
sampah,,,,,
polusi,,,,,
kotor,,,,,
lubang,,,,,
berisik,,,,,
bising,,,,,
debu,,,,,
kumuh,,,,,
saluran,,,,,
got,,,,,
selokan,,,,,
banjir,,,,,
genang,,,,,
hujan,,,,,
pohon,,,,,
teman,,,,,
antri,,,,,
lambat,,,,,
lama,,,,,
telat,,,,,
tutup,,,,,
penuh,,,,,
antre,,,,,
tunggu,,,,,
jalan,,,,,
retak,,,,,
patah,,,,,
mampet,,,,,
listrik,,,,,
mati,,,,,
lampu,,,,,
pipa,,,,,
aspal,,,,,
trotoal,,,,,
marka,,,,,
rambu,,,,,
kabel,,,,,
tiang,,,,,
papan,,,,,
trotoar,,,,,
gorong,,,,,
jembatan,,,,,
gedung,,,,,
parah,,,,,
gawat,,,,,
bahaya,,,,,
lemah,,,,,
sakit,,,,,
luka,,,,,
rugi,,,,,
aman,,,,,
awas,,,,,
waspada,,,,,
siaga,,,,,
kritis,,,,,
buruk,,,,,
fatal,,,,,
urgent,,,,,
cepat,,,,,
lambat,,,,,
tangani,,,,,
proses,,,,,
respon,,,,,
tindak,,,,,
selesai,,,,,
mediasi,,,,,
cek,,,,,
periksa,,,,,
evaluasi,,,,,
pantau,,,,,
awasi,,,,,
bukti,,,,,
saksi,,,,,
data,,,,,
solusi,,,,,
hasil,,,,,
untung,,,,,
akibat,,,,,
dampak,,,,,
efek,,,,,
pengaruh,,,,,
trauma,,,,,
stress,,,,,
derita,,,,,
senang,,,,,
puas,,,,,
kecewa,,,,,
marah,,,,,
sedih,,,,,
takut,,,,,
resah,,,,,
gelisah,,,,,
cemas,,,,,
khawatir,,,,,
tenang,,,,,
mobil,,,,,
motor,,,,,
truk,,,,,
bus,,,,,
angkot,,,,,
taksi,,,,,
becak,,,,,
sepeda,,,,,
bajaj,,,,,
ambulans,,,,,
damkar,,,,,
derek,,,,,
kontainer,,,,,
pickup,,,,,
rem,,,,,
banjir,,,,,
lampu,,,,,
sen,,,,,
spion,,,,,
klakson,,,,,
pedal,,,,,
gas,,,,,
kopling,,,,,
persneling,,,,,
setir,,,,,
plat,,,,,
bumper,,,,,
kaca,,,,,
tabrak,,,,,
senggol,,,,,
serempet,,,,,
lindas,,,,,
terobos,,,,,
langgar,,,,,
putar,,,,,
parkir,,,,,
berhenti,,,,,
potong,,,,,
kebut,,,,,
lawan,,,,,
sim,,,,,
denda,,,,,
surat,,,,,
asuransi,,,,,
klaim,,,,,
pajak,,,,,
pembatas,,,,,
portal,,,,,
palang,,,,,
pagar,,,,,
halte,,,,,
perempatan,,,,,
pertigaan,,,,,
simpang,,,,,
bundaran,,,,,
tikung,,,,,
tanjakan,,,,,
turunan,,,,,
terowongan,,,,,
tol,,,,,
gang,,,,,
lorong,,,,,
jalur,,,,,
polantas,,,,,
dishub,,,,,
satpol,,,,,
petugas,,,,,
patroli,,,,,
pengawas,,,,,
operator,,,,,
komandan,,,,,
koordinator,,,,,
penyidik,,,,,
investigator,,,,,
mogok,,,,,
bocor,,,,,
pecah,,,,,
lepas,,,,,
terbakar,,,,,
ledak,,,,,
meledak,,,,,
tenggelam,,,,,
terguling,,,,,
tergelincir,,,,,
tersangkut,,,,,
terjebak,,,,,
terperosok,,,,,
terdampar,,,,,
ganti,,,,,
kantuk,,,,,